Flow Type,Country,Country Code,Total Migrants,Male,Female,Male %,Continent
Emigrants,Taiwan,158,278,109,169,39.2%,Asia
Emigrants,Egypt,818,269,152,117,56.5%,Africa
Emigrants,Brunei Darussalam,96,262,140,122,53.4%,Asia
Emigrants,Samoa,882,236,135,101,57.2%,Oceania
Emigrants,Slovenia,705,226,103,123,45.6%,Europe
Emigrants,New Caledonia,540,226,102,124,45.1%,Oceania
Emigrants,Azerbaijan,31,210,98,112,46.7%,Asia
Emigrants,Colombia,170,192,94,98,49.0%,South America
Emigrants,Mexico,484,189,77,112,40.7%,North America
Emigrants,Uganda,800,137,63,74,46.0%,Africa
Emigrants,Venezuela,862,131,68,63,51.9%,South America
Emigrants,Montenegro,499,130,43,87,33.1%,Europe
Emigrants,Botswana,72,120,61,59,50.8%,Africa
Emigrants,Panama,591,115,67,48,58.3%,Central America
Emigrants,Dem. People's Republic of Korea,408,96,53,43,55.2%,Asia
Emigrants,Zambia,894,81,39,42,48.1%,Africa
Emigrants,Luxembourg,442,74,35,39,47.3%,Europe
Emigrants,Bolivia,68,74,33,41,44.6%,South America
Emigrants,Costa Rica,188,73,31,42,42.5%,Central America
Emigrants,Dominican Republic,214,67,47,20,70.1%,North America
Emigrants,Seychelles,690,67,30,37,44.8%,Africa
Emigrants,Kiribati,296,64,40,24,62.5%,Oceania
Emigrants,French Polynesia,258,63,31,32,49.2%,Oceania
Emigrants,Iceland,352,60,23,37,38.3%,Europe
Emigrants,Cambodia,116,54,34,20,63.0%,Asia
Emigrants,Sri Lanka,144,51,32,19,62.7%,Asia
Emigrants,Guatemala,320,47,19,28,40.4%,Central America
Emigrants,Latvia,428,45,26,19,57.8%,Europe
Emigrants,Maldives,462,37,20,17,54.1%,Asia
Emigrants,El Salvador,222,33,13,20,39.4%,Central America
Emigrants,Bahamas,44,27,14,13,51.9%,North America
Emigrants,Barbados,52,24,12,12,50.0%,North America
Emigrants,Lithuania,440,22,13,9,59.1%,Europe
Emigrants,Belarus,112,21,12,9,57.1%,Europe
Emigrants,Slovakia,703,18,8,10,44.4%,Europe
Emigrants,Laos,418,18,10,8,55.6%,Asia
Emigrants,Ghana,288,17,5,12,29.4%,Africa
Emigrants,Bulgaria,100,13,9,4,69.2%,Europe
Emigrants,Bhutan,64,12,10,2,83.3%,Asia
Emigrants,Central African Republic,140,9,9,0,100.0%,Africa
Emigrants,Swaziland,748,8,8,0,100.0%,Africa
Emigrants,Ecuador,218,8,5,3,62.5%,South America
Emigrants,Antigua and Barbuda,28,7,3,4,42.9%,North America
Emigrants,Saint Lucia,662,7,2,5,28.6%,North America
Emigrants,Mongolia,496,3,2,1,66.7%,Asia
