FlowType,Country,CountryCode,TotalMigrants,Male,Female,MalePct,Continent,Year
Immigrants,Réunion,638,44.0,17.0,27.0,38.6%,Africa,1990
Immigrants,Azerbaijan,31,44.0,18.0,26.0,40.9%,Asia,1990
Immigrants,Belize,84,33.0,13.0,20.0,39.4%,Central America,1990
Immigrants,Dominican Republic,214,29.0,15.0,14.0,51.7%,North America,1990
Immigrants,Bhutan,64,29.0,17.0,12.0,58.6%,Asia,1990
Immigrants,Guam,316,29.0,12.0,17.0,41.4%,Oceania,1990
Immigrants,Côte d'Ivoire,384,21.0,12.0,9.0,57.1%,Africa,1990
Immigrants,Tajikistan,762,19.0,8.0,11.0,42.1%,Asia,1990
Immigrants,Burundi,108,18.0,10.0,8.0,55.6%,Africa,1990
Immigrants,Cameroon,120,12.0,8.0,4.0,66.7%,Africa,1990
Immigrants,Antigua and Barbuda,28,12.0,4.0,8.0,33.3%,North America,1990
Immigrants,Kyrgyzstan,417,12.0,6.0,6.0,50.0%,Asia,1990
Immigrants,Gambia,270,12.0,7.0,5.0,58.3%,Africa,1990
Immigrants,Saint Lucia,662,11.0,8.0,3.0,72.7%,North America,1990
Immigrants,Monaco,492,10.0,5.0,5.0,50.0%,Europe,1990
Immigrants,Central African Republic,140,8.0,7.0,1.0,87.5%,Africa,1990
Immigrants,Chad,148,7.0,5.0,2.0,71.4%,Africa,1990
Immigrants,Turkmenistan,795,6.0,2.0,4.0,33.3%,Asia,1990
Immigrants,Burkina Faso,854,6.0,5.0,1.0,83.3%,Africa,1990
Immigrants,Rwanda,646,3.0,2.0,1.0,66.7%,Africa,1990
Immigrants,Gabon,266,3.0,2.0,1.0,66.7%,Africa,1990
Immigrants,Togo,768,3.0,2.0,1.0,66.7%,Africa,1990
Immigrants,Guinea,324,3.0,2.0,1.0,66.7%,Africa,1990
Immigrants,Benin,204,3.0,2.0,1.0,66.7%,Africa,1990
Emigrants,United Kingdom,826,71717.0,32201.0,39516.0,44.9%,Europe,1990
Emigrants,New Zealand,554,48723.0,22802.0,25921.0,46.8%,Australia,1990
Emigrants,Greece,300,19643.0,10489.0,9154.0,53.4%,Europe,1990
Emigrants,Italy,380,16050.0,6902.0,9148.0,43.0%,Europe,1990
Emigrants,Papua New Guinea,598,13916.0,8113.0,5803.0,58.3%,Oceania,1990
Emigrants,Canada,124,13712.0,6116.0,7596.0,44.6%,North America,1990
Emigrants,China,156,6495.0,3715.0,2780.0,57.2%,Asia,1990
Emigrants,"China, Hong Kong SAR",344,6092.0,3509.0,2583.0,57.6%,Asia,1990
Emigrants,Indonesia,360,6047.0,3169.0,2878.0,52.4%,Asia,1990
Emigrants,Singapore,702,4549.0,2384.0,2165.0,52.4%,Asia,1990
Emigrants,Ireland,372,4510.0,2142.0,2368.0,47.5%,Europe,1990
Emigrants,South Africa,710,4309.0,2103.0,2206.0,48.8%,Africa,1990
Emigrants,Japan,392,3687.0,2131.0,1556.0,57.8%,Asia,1990
Emigrants,Malta,470,3435.0,1618.0,1817.0,47.1%,Europe,1990
Emigrants,India,356,2632.0,1121.0,1511.0,42.6%,Asia,1990
Emigrants,Malaysia,458,2426.0,1339.0,1087.0,55.2%,Asia,1990
Emigrants,Argentina,32,2234.0,1099.0,1135.0,49.2%,South America,1990
Emigrants,Israel,376,1852.0,815.0,1037.0,44.0%,Asia,1990
Emigrants,Serbia,688,1519.0,822.0,697.0,54.1%,Europe,1990
Emigrants,Libya,434,1499.0,809.0,690.0,54.0%,Africa,1990
Emigrants,Fiji,242,1306.0,687.0,619.0,52.6%,Oceania,1990
Emigrants,Philippines,608,1058.0,655.0,403.0,61.9%,Asia,1990
Emigrants,Denmark,208,1036.0,487.0,549.0,47.0%,Europe,1990
Emigrants,Hungary,348,832.0,419.0,413.0,50.4%,Europe,1990
Emigrants,Norway,578,797.0,355.0,442.0,44.5%,Europe,1990
Emigrants,Namibia,516,793.0,304.0,489.0,38.3%,Africa,1990
Emigrants,Cyprus,196,741.0,378.0,363.0,51.0%,Asia,1990
Emigrants,Peru,604,737.0,411.0,326.0,55.8%,South America,1990
Emigrants,Croatia,191,694.0,266.0,428.0,38.3%,Europe,1990
Emigrants,Chile,152,582.0,295.0,287.0,50.7%,South America,1990
Emigrants,Brazil,76,458.0,225.0,233.0,49.1%,South America,1990
Emigrants,Finland,246,452.0,233.0,219.0,51.5%,Europe,1990
Emigrants,Vanuatu,548,442.0,262.0,180.0,59.3%,Oceania,1990
Emigrants,Timor-Leste,626,425.0,201.0,224.0,47.3%,Asia,1990
Emigrants,Solomon Islands,90,360.0,204.0,156.0,56.7%,Oceania,1990
Emigrants,Portugal,620,348.0,158.0,190.0,45.4%,Europe,1990
